Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Anhui,China,1/22/2020 17:00,1,0,0,,
Beijing,China,1/22/2020 17:00,14,0,0,,
Chongqing,China,1/22/2020 17:00,6,0,0,,
Fujian,China,1/22/2020 17:00,1,0,0,,
Gansu,China,1/22/2020 17:00,0,0,0,,
Guangdong,China,1/22/2020 17:00,26,0,0,,
Guangxi,China,1/22/2020 17:00,2,0,0,,
Guizhou,China,1/22/2020 17:00,1,0,0,,
Hainan,China,1/22/2020 17:00,4,0,0,,
Hebei,China,1/22/2020 17:00,1,0,0,,
Heilongjiang,China,1/22/2020 17:00,0,0,0,,
Henan,China,1/22/2020 17:00,5,0,0,,
Hong Kong,Hong Kong,1/22/2020 17:00,0,0,0,,
Hubei,China,1/22/2020 17:00,444,17,28,,
Hunan,China,1/22/2020 17:00,4,0,0,,
Inner Mongolia,China,1/22/2020 17:00,0,0,0,,
Jiangsu,China,1/22/2020 17:00,1,0,0,,
Jiangxi,China,1/22/2020 17:00,2,0,0,,
Jilin,China,1/22/2020 17:00,0,0,0,,
Liaoning,China,1/22/2020 17:00,2,0,0,,
Macau,Macau,1/22/2020 17:00,1,0,0,,
Ningxia,China,1/22/2020 17:00,1,0,0,,
Qinghai,China,1/22/2020 17:00,0,0,0,,
Shaanxi,China,1/22/2020 17:00,0,0,0,,
Shandong,China,1/22/2020 17:00,2,0,0,,
Shanghai,China,1/22/2020 17:00,9,0,0,,
Shanxi,China,1/22/2020 17:00,1,0,0,,
Sichuan,China,1/22/2020 17:00,5,0,0,,
Taiwan*,Taiwan*,1/22/2020 17:00,1,0,0,,
Tianjin,China,1/22/2020 17:00,4,0,0,,
Tibet,China,1/22/2020 17:00,0,0,0,,
Washington,US,1/22/2020 17:00,1,0,0,,
Xinjiang,China,1/22/2020 17:00,0,0,0,,
Yunnan,China,1/22/2020 17:00,1,0,0,,
Zhejiang,China,1/22/2020 17:00,10,0,0,,
,Japan,1/22/2020 17:00,2,0,0,,
,Thailand,1/22/2020 17:00,2,0,0,,
,South Korea,1/22/2020 17:00,1,0,0,,
Anhui,China,1/23/20 17:00,9,0,0,,
Beijing,China,1/23/20 17:00,22,0,0,,
Chongqing,China,1/23/20 17:00,9,0,0,,
Fujian,China,1/23/20 17:00,5,0,0,,
Gansu,China,1/23/20 17:00,2,0,0,,
Guangdong,China,1/23/20 17:00,32,0,2,,
Guangxi,China,1/23/20 17:00,5,0,0,,
Guizhou,China,1/23/20 17:00,3,0,0,,
Hainan,China,1/23/20 17:00,5,0,0,,
Hebei,China,1/23/20 17:00,1,1,0,,
Heilongjiang,China,1/23/20 17:00,2,0,0,,
Henan,China,1/23/20 17:00,5,0,0,,
Hong Kong,Hong Kong,1/23/20 17:00,2,0,0,,
Hubei,China,1/23/20 17:00,444,17,28,,
Hunan,China,1/23/20 17:00,9,0,0,,
Inner Mongolia,China,1/23/20 17:00,0,0,0,,
Jiangsu,China,1/23/20 17:00,5,0,0,,
Jiangxi,China,1/23/20 17:00,7,0,0,,
Jilin,China,1/23/20 17:00,1,0,0,,
Liaoning,China,1/23/20 17:00,3,0,0,,
Macau,Macau,1/23/20 17:00,2,0,0,,
Ningxia,China,1/23/20 17:00,1,0,0,,
Qinghai,China,1/23/20 17:00,0,0,0,,
Shaanxi,China,1/23/20 17:00,3,0,0,,
Shandong,China,1/23/20 17:00,6,0,0,,
Shanghai,China,1/23/20 17:00,16,0,0,,
Shanxi,China,1/23/20 17:00,1,0,0,,
Sichuan,China,1/23/20 17:00,8,0,0,,
Taiwan*,Taiwan*,1/23/20 17:00,1,0,0,,
Tianjin,China,1/23/20 17:00,4,0,0,,
Tibet,China,1/23/20 17:00,0,0,0,,
Washington,US,1/23/20 17:00,1,0,0,,
Xinjiang,China,1/23/20 17:00,2,0,0,,
Yunnan,China,1/23/20 17:00,2,0,0,,
Zhejiang,China,1/23/20 17:00,27,0,0,,
,Japan,1/23/20 17:00,1,0,0,,
,Thailand,1/23/20 17:00,3,0,0,,
,South Korea,1/23/20 17:00,1,0,0,,
,Singapore,1/23/20 17:00,1,0,0,,
,Philippines,1/23/20 17:00,0,0,0,,
,Malaysia,1/23/20 17:00,0,0,0,,
,Vietnam,1/23/20 17:00,2,0,0,,
,Australia,1/23/20 17:00,0,0,0,,
,Mexico,1/23/20 17:00,0,0,0,,
,Brazil,1/23/20 17:00,0,0,0,,
,Colombia,1/23/20 17:00,0,0,0,,
Hubei,China,1/24/20 17:00,549,24,31,,
Guangdong,China,1/24/20 17:00,53,0,2,,
Zhejiang,China,1/24/20 17:00,43,0,1,,
Beijing,China,1/24/20 17:00,36,0,1,,
Chongqing,China,1/24/20 17:00,27,0,0,,
Hunan,China,1/24/20 17:00,24,0,0,,
Guangxi,China,1/24/20 17:00,23,0,0,,
Shanghai,China,1/24/20 17:00,20,0,1,,
Jiangxi,China,1/24/20 17:00,18,0,0,,
Sichuan,China,1/24/20 17:00,15,0,0,,
Shandong,China,1/24/20 17:00,15,0,0,,
Anhui,China,1/24/20 17:00,15,0,0,,
Fujian,China,1/24/20 17:00,10,0,0,,
Henan,China,1/24/20 17:00,9,0,0,,
Jiangsu,China,1/24/20 17:00,9,0,0,,
Hainan,China,1/24/20 17:00,8,0,0,,
Tianjin,China,1/24/20 17:00,8,0,0,,
Yunnan,China,1/24/20 17:00,5,0,0,,
Shaanxi,China,1/24/20 17:00,5,0,0,,
Heilongjiang,China,1/24/20 17:00,4,1,0,,
Liaoning,China,1/24/20 17:00,4,0,0,,
Guizhou,China,1/24/20 17:00,3,0,0,,
Jilin,China,1/24/20 17:00,3,0,0,,
Taiwan*,Taiwan*,1/24/20 17:00,3,0,0,,
Ningxia,China,1/24/20 17:00,2,0,0,,
Hong Kong,Hong Kong,1/24/20 17:00,2,0,0,,
Macau,Macau,1/24/20 17:00,2,0,0,,
Hebei,China,1/24/20 17:00,2,1,0,,
Gansu,China,1/24/20 17:00,2,0,0,,
Xinjiang,China,1/24/20 17:00,2,0,0,,
Shanxi,China,1/24/20 17:00,1,0,0,,
Inner Mongolia,China,1/24/20 17:00,1,0,0,,
Qinghai,China,1/24/20 17:00,0,0,0,,
Washington,US,1/24/20 17:00,1,0,0,,
Chicago,US,1/24/20 17:00,1,0,0,,
,Japan,1/24/20 17:00,2,0,0,,
,Thailand,1/24/20 17:00,5,0,0,,
,South Korea,1/24/20 17:00,2,0,0,,
,Singapore,1/24/20 17:00,3,0,0,,
,Vietnam,1/24/20 17:00,2,0,0,,
,France,1/24/20 17:00,2,0,0,,
Hubei,China,1/25/20 17:00,761,40,32,,
Guangdong,China,1/25/20 17:00,78,0,2,,
Zhejiang,China,1/25/20 17:00,62,0,1,,
Chongqing,China,1/25/20 17:00,57,0,0,,
Hunan,China,1/25/20 17:00,43,0,0,,
Beijing,China,1/25/20 17:00,41,0,2,,
Anhui,China,1/25/20 17:00,39,0,0,,
Shanghai,China,1/25/20 17:00,33,0,1,,
Henan,China,1/25/20 17:00,32,0,0,,
Sichuan,China,1/25/20 17:00,28,0,0,,
Shandong,China,1/25/20 17:00,27,0,0,,
Guangxi,China,1/25/20 17:00,23,0,0,,
Hainan,China,1/25/20 17:00,19,0,0,,
Jiangxi,China,1/25/20 17:00,18,0,0,,
Fujian,China,1/25/20 17:00,18,0,0,,
